name,address,latitude,longitude,rating,user_ratings_total,place_id
Le Mille Sfoglie,"Piazza San Carlo, 15, Castell'Arquato",44.8531663,9.871198300000001,4.3,267,ChIJ1fSfj-eMgEcRKoxJX8zMGG0
Parma Menù & Autobar,"Italia, SP12, 60, Fidenza",44.8862675,10.0856883,4.3,1370,ChIJMQR8KmFegEcRmijyXBovAGs
Salumificio Rossi - ERRE ITALIA SRL,"Via Nazionale Emilia, 129, Sanguinaro",44.8444053,10.1394456,4.7,943,ChIJARTO7QxdgEcRVfX4aDmH08M
Ristorante Pizzeria Andrea's,"Viale Circonvallazione, 9/11, Sant'Andrea Bagni",44.7216344,10.0910461,4.2,756,ChIJyVvEDt5kgEcRy_jMC84w2Ac
SalAmeria,"Via Emilia, 96, Sanguinaro",44.83959919999999,10.1565903,4.7,264,ChIJ5xVHBI1ngEcRQ57-1BYcOtA
Locanda Monte Chervano,"Via Nando Pesci, 47, Ramiola",44.7055082,10.0787147,4.3,551,ChIJSxNz79JkgEcRB7e5Y4phgOE
Trattoria Pizzeria Il Gisolo,"Via frazione Tabiano, 8, Fidenza",44.7979931,10.0725549,4.2,458,ChIJgTawO5hmgEcRIrPRBDQppqc
Ristorante Sanafollia,"Via Benedetto Bacchini, 23, Fidenza",44.86501740000001,10.0595373,4.6,353,ChIJ0ZTkzzFegEcRM3MJ_8KQFsw
Tramvai Fidenza,"Via Galileo Ferraris, 13, Fidenza",44.8589739,10.0885552,4.2,1061,ChIJw0AiJBtegEcRPGuq2sbbQvw
Ristorante Giorgione's,"Via Martiri della Libertà, 2, Varano de' Melegari",44.6858488,10.0174687,4.3,171,ChIJv5SufJR8gEcRRA4F0iXkF4g
Marcello's Cafe Enoteca Birreria Salumeria,"Piazza Giovanni Lunardi, 10, Noceto",44.8050343,10.1757069,4.5,286,ChIJCVU31IBogEcRREYzdax4t_0
Stadio Risto Il Noce,"Via Alberto Sordi, Noceto",44.80453079999999,10.1815936,4.3,750,ChIJXRHwhIhogEcRAlmc2FB3st4
Salumificio Peveri Carlo di Peveri Remo e Peveri Federica Sas,"Via Chiaravalle, 3193/1, SP54, Alseno",44.926342,9.970281,4.7,102,ChIJE8_6TJXzgEcRDv6itCl4OzQ
