name,address,latitude,longitude,rating,user_ratings_total,place_id,distance_km,duration_text
Antica Trattoria di Vigostano,"Via Vigostano, 17, Castell'Arquato",44.8886999,9.846383699999999,4.3,518,ChIJkb8B577ygEcRRDD7ajbCPlQ,28.113,34 mins
Trattoria San Giorgio,"Via Michele Leoni, 12, Fidenza",44.8654904,10.0581702,4.4,321,ChIJfeNW-TFegEcRYCl2xQ2NN28,11.806,17 mins
Trattoria Ceriati di Antonio Tartamella & C Snc,"Str. di Cangelasio, 18, Ceriati",44.8129482,9.9397012,4.5,1212,ChIJfdsle5yLgEcRtBN_FavqFDM,6.494,11 mins
Trattoria La Crocetta,"Str. Della Crocetta, 26, Castell'Arquato",44.8507709,9.8757101,4.3,727,ChIJX-KM3rOMgEcRyu9nuaHG4x0,22.049,27 mins
Degusteria Io Parmigianino,"Via Guglielmo Marconi, 19, Fontanellato",44.8818053,10.1735554,4.4,699,ChIJSxM1kx9dgEcRcuzGHwno6x0,19.818,25 mins
Giardino Botanico Gavinell,"Località Gaviana, 138 Contignaco, Salsomaggiore Terme",44.7993132,9.971869,4.5,526,ChIJRw-k-vqJgEcRtTrzSSEXEQw,4.357,7 mins
Ristorante da Giovanni,"Str. di Cortina, 1040, Piacenza",44.8730789,9.9244433,4.8,793,ChIJD0RiZq70gEcRvlX314TPWe4,17.833,23 mins
Ristorante da Faccini,"SP6, 10, Sant'Antonio",44.8784071,9.872456099999999,4.6,1150,ChIJhX1HhS7zgEcRsd68SZVE2S8,24.967,30 mins
Locanda del culatello,"Piazza Garibaldi, 12, Soragna",44.9277407,10.1241374,4.8,1089,ChIJi9B-0WVbgEcRct5y36qJLmY,20.688,25 mins
Ristorante Bar Lago Blu,"Strada Ceriato, 82, Pellegrino Parmense",44.7313375,9.8872859,4.4,207,ChIJlyPNgWyIgEcRZhc5VgpT_uc,23.28,34 mins
Trattoria del Teatro,"Piazza Giuseppe Verdi, 5, Fontanellato",44.8813889,10.1716667,4.2,655,ChIJCwkysh9dgEcRYR-3mqbUT3U,19.807,24 mins
Ristorante Il Lupo,"Centro, 54, Ciriano",44.9077724,9.8150081,4.3,819,ChIJ1RycZ3LtgEcRQBLxB-DkSSg,33.156,36 mins
Trattoria Trivelloni,"Strada Borre, 43, Busseto",44.9309632,9.9991857,4.1,310,ChIJmS2TRLn1gEcRMbrZloV8qD0,20.145,24 mins
Trattoria Trinità,"Via Trinità, 13, Trinità",44.7883229,9.8733643,4.6,633,ChIJv4ywv3eOgEcRymBIb-VDhog,16.268,21 mins
Podere Miranta,"Via della Libertà, 54, Gaiano",44.7275547,10.1672114,4.6,488,ChIJ2W2T_MRugEcRDuepR9CmN7E,30.739,32 mins
Podere San Faustino,"Via San Faustino, 33, Fidenza",44.8733683,10.03385,4.6,988,ChIJGWoSvc9fgEcRbV-D5_fEwoE,14.422,19 mins
Pizzeria Mulino,"Località Podere Molino, Snc, Fiorenzuola d'Arda",44.9142692,9.8535728,4.2,1195,ChIJiQpLdIzzgEcRHyjELMONSOA,29.028,33 mins
50 Special,"Frazione Ponte Ghiara, 32, Fidenza",44.8433146,10.0157279,4.5,1077,ChIJVVVVJT5ggEcR5oGyD9HD5fE,6.35,9 mins
Timocenko,"Viale Guglielmo Marconi, 19, Salsomaggiore Terme",44.8132196,9.9880763,4.4,781,ChIJX4_iWthhgEcRG-XCwOO92k4,1.322,2 mins
Ristorante Pizzeria Da Gianni,"Via Abate Zani, 62, Fidenza",44.8693477,10.0510879,4.2,453,ChIJrQjJuBhegEcR0widcZC0TC4,11.265,15 mins
Ristorante Pizzeria Il Casale,"Via O. Davighi, 575/A, Fidenza",44.8717918,10.0416752,4.2,1360,ChIJMdMAn7dfgEcR9FCKYNAf-bI,12.053,16 mins
Ristorante Pizzeria Valceno,"Via Provinciale, 136, Varano de' Melegari",44.6826278,9.9092744,4.5,911,ChIJOdKnFaeHgEcRGdqSe8hOr2w,28.61,43 mins
Castello di Vigoleno,"Piazza IV Novembre, 2, Vigoleno",44.816545,9.901029200000002,4.5,1544,ChIJkT-vjIuLgEcR7O3jpiVTIh4,13.842,21 mins
Albergo Park Hotel Fantoni,"Via Castello, 6, Bagni di Tabiano",44.801312,10.021422,4.5,206,ChIJR7BvisRhgEcRNlADkUPz_ko,3.165,5 mins
Hotel Leon D'Oro Castell' Arquato,"Piazza Europa, 6, Castell'Arquato",44.8526523,9.869839099999998,4.5,158,ChIJB4BgceeMgEcRC0dL1pkhHvw,22.265,28 mins
Albergo Villa Ombrosa,"Piazza Ponci, 3, Sant'Andrea Bagni",44.72574289999999,10.0881423,3.5,22,ChIJkUAFvOZkgEcRxHTTvI8_Qag,30.805,34 mins
Country Hotel Ristorante Querce,"Via Parma, 85, Salsomaggiore Terme",44.8323554,10.0080928,4.4,592,ChIJa80VZjpggEcRph2ogbbXePI,4.94,8 mins
Hotel Meridiana,"Viale Respighi, 12, Tabiano",44.80264,10.024259,4.5,148,ChIJzXLPVKNhgEcRc7Co7H8yKLE,2.715,5 mins
Hotel Garden con Piscina - Bike Hotel - Ristorante tipico - Terme di Tabiano,"Viale Maria Luigia, 25, Bagni di Tabiano",44.8089981,10.0215683,4.2,386,ChIJ7zijuIJhgEcRMBNqSPpAsqw,2.36,3 mins
Hotel Principe,"Via Romagnosi, 24, Salsomaggiore Terme",44.8143263,9.9809545,3.9,215,ChIJ8wkmT3aKgEcRllyEoXy78Mw,2.356,4 mins
Hotel Ristorante Pizzeria Astoria,"Via Gandolfi, 7, Fidenza",44.86748,10.0612228,4.1,1134,ChIJ36Yqz5FfgEcRsyW8BcA20wM,11.787,17 mins
Hotel Botton D'Oro,"via Agostino Gragnani 5, Borgo Castellazzo, Salsomaggiore Terme",44.8152872,9.9776425,3.6,26,ChIJK4nCcXCKgEcRCTmO-8bYQzc,2.895,6 mins
Albergo Elvira,"Via delle Terme, 17, Bagni di Tabiano",44.80426659999999,10.0227525,4.5,90,ChIJxwEOt9ZhgEcRFU42slgptKA,2.494,4 mins
Pizzeria D'Asporto Da Tony Di La Scala Antonio,"Via Cornini Malpeli, 78, Fidenza",44.8659751,10.0645538,4.4,153,ChIJzQ8AmjpegEcRrfaNNxgL5CE,12.074,18 mins
Pierre Cafè Fidenza,"Via XXIV Maggio, 58, Fidenza",44.8596035,10.0843901,4.1,341,ChIJC21ldSJegEcRe0uUhDsJjzw,10.825,13 mins
Ristorante Self Service Il Ghiotto,"Via Piani di Riva, 8, Varano de' Melegari",44.6874122,10.0368881,4,151,ChIJkd70qp98gEcRpXHY9fB2O6o,29.042,42 mins
Ristorante al Golf,"Salsomaggiore Golf Club, Localita' Case Carancini, 105/a, Salsomaggiore Terme",44.7788786,9.9417066,4.5,38,ChIJe-HsMHeKgEcR9iayKRYHVhM,9.502,14 mins
Ristorante Pizzeria L'incontro,"Viale Berenini, 6A, Salsomaggiore Terme",44.8146363,9.983215300000001,4.5,3202,ChIJX1P-XHeKgEcRBzoaFD1f_LY,2.233,4 mins
Ristorante Primavera,"Case Sparse Mori, 22, Castell'Arquato",44.8444444,9.9061111,4.5,512,ChIJ651uxjXzgEcRnKqGKdD3awE,19.92,25 mins
L'isola della Piada,"Viale Berenini, 6/o, Salsomaggiore Terme",44.8147168,9.983149,4.5,165,ChIJI3OMQXeKgEcR0-OLuUD0MUw,2.239,4 mins
ASA TAIYOO RAMEN SUSHI CINESE,"Viale Lavoro, 1, Salsomaggiore Terme",44.81601259999999,9.9877223,3.9,344,ChIJH2aBC3iKgEcRn2PP0FXAQZo,2.7,4 mins
Stuzzicheria Parmigiana,"Via Roma, 12, Salsomaggiore Terme",44.81585889999999,9.9811023,4.4,347,ChIJpx4bC3qKgEcRlAQfHwiMVkc,2.534,5 mins
Ristorante I Due Leoni,"Largo Roma, 4, Salsomaggiore Terme",44.8156217,9.9808863,3.8,36,ChIJrcegCnqKgEcRn3xEmXNHYak,2.568,5 mins
Pizzeria Luna Nuova,"Via Farini, 1, Salsomaggiore Terme",44.8163236,9.971095600000002,4,134,ChIJr3vTVW-KgEcRJDAay6O6PrA,3.346,6 mins
Dragoon Pub,"Via Amerigo Vespucci, 2, Salsomaggiore Terme",44.81840649999999,9.968358400000001,4.5,409,ChIJ_-a6rWeKgEcR4WpiwpLn2rs,3.878,7 mins
Terzo Tempo,"Via Giovanni Pascoli, 40, Salsomaggiore Terme",44.81546299999999,9.966213099999997,4.4,210,ChIJlbTyqGiKgEcRz2SoHfy6T18,3.553,7 mins
Vecchio Parco,"Via Parma, 95, Salsomaggiore Terme",44.838902,10.011272,4.2,1294,ChIJi9-ErT1ggEcRwDM6UzbTLfY,5.769,9 mins
The Fornio Woods,"Via Fornio, 49, Fidenza",44.8578389,9.9963741,4.7,55,ChIJMUp1F-lfgEcRINZbiGfGwZM,16.948,23 mins
Agriturismo Il Cerreto,"Via Gabbiano, 96, Noceto",44.77602,10.05624,4.4,48,ChIJq-zsa9ZngEcRNqHcwdbfMSU,14.919,22 mins
Ristorante Stella di Mare,"Frazione Pieve di Cusignano, 98, Fidenza",44.7934068,10.0752557,4.6,748,ChIJtfrGBFphgEcRq9WSSmfdaWc,11.266,16 mins
Romanini,"Strada Statale 9 Via Emilia, 112, Parola",44.8539782,10.1063266,4.4,243,ChIJwZ5cAhJogEcR8HKulTK4Lo0,12.162,14 mins
Azienda Vitivinicola La Caminà,"case sparse Caminata, 1, Vernasca",44.83913099999999,9.9092131,4.7,23,ChIJ_dEJk3yLgEcRObd0dSoOtvs,15.437,23 mins
Pica Pica Fidenza,"Via Amendola, 1, Fidenza",44.86597689999999,10.0612052,4.2,167,ChIJfUqrPjBegEcRL-PDLKHba8g,12.008,18 mins
Al Canton 33 Trattoria,"Via Mentana, 33, Fidenza",44.8673765,10.0588834,4.4,403,ChIJZ8IU1DNegEcRu7YI3c9l2NA,11.5,16 mins
N'Ombra de Vin,"Piazza Giuseppe Garibaldi, 34, Fidenza",44.86682889999999,10.060897,4.3,511,ChIJzShArDFegEcRTccsXtnI0c8,11.726,17 mins
Bingo Hall Fidenza,"Via Agostino Berenini, 77, Fidenza",44.8657603,10.0636669,3.5,139,ChIJgUAtdTBegEcRlep9zid1tvU,10.884,15 mins
Amoretti,"Frazione Parola, 16, Parola",44.85418019999999,10.1061623,4.3,19,ChIJz7LI1_ldgEcRZpm3cybdqy4,12.088,13 mins
Albergo Ristorante Da Paolo Di Miserotti Gian Paolo,"Strada Molinazzo, 47, Alseno",44.887989,9.9089314,4,79,ChIJDd3D7GfzgEcRPmhO38053Q4,18.328,23 mins
La Casa del Pane,"Piazza Europa, 1, Castell'Arquato",44.852887,9.8700853,4.3,589,ChIJG0sxceeMgEcRHBUPoiHLLn4,22.183,28 mins
Le Mille Sfoglie,"Piazza San Carlo, 15, Castell'Arquato",44.8531663,9.871198300000001,4.3,267,ChIJ1fSfj-eMgEcRKoxJX8zMGG0,22.05,27 mins
Parma Menù & Autobar,"Italia, SP12, 60, Fidenza",44.8862675,10.0856883,4.3,1370,ChIJMQR8KmFegEcRmijyXBovAGs,14.436,17 mins
Salumificio Rossi - ERRE ITALIA SRL,"Via Nazionale Emilia, 129, Sanguinaro",44.8444053,10.1394456,4.7,943,ChIJARTO7QxdgEcRVfX4aDmH08M,15.028,17 mins
Ristorante Pizzeria Andrea's,"Viale Circonvallazione, 9/11, Sant'Andrea Bagni",44.7216344,10.0910461,4.2,756,ChIJyVvEDt5kgEcRy_jMC84w2Ac,30.498,34 mins
SalAmeria,"Via Emilia, 96, Sanguinaro",44.83959919999999,10.1565903,4.7,264,ChIJ5xVHBI1ngEcRQ57-1BYcOtA,16.421,18 mins
Locanda Monte Chervano,"Via Nando Pesci, 47, Ramiola",44.7055082,10.0787147,4.3,551,ChIJSxNz79JkgEcRB7e5Y4phgOE,33.962,39 mins
Trattoria Pizzeria Il Gisolo,"Via frazione Tabiano, 8, Fidenza",44.7979931,10.0725549,4.2,458,ChIJgTawO5hmgEcRIrPRBDQppqc,8.969,14 mins
Ristorante Sanafollia,"Via Benedetto Bacchini, 23, Fidenza",44.86501740000001,10.0595373,4.6,353,ChIJ0ZTkzzFegEcRM3MJ_8KQFsw,11.85,17 mins
Tramvai Fidenza,"Via Galileo Ferraris, 13, Fidenza",44.8589739,10.0885552,4.2,1061,ChIJw0AiJBtegEcRPGuq2sbbQvw,11.267,13 mins
Ristorante Giorgione's,"Via Martiri della Libertà, 2, Varano de' Melegari",44.6858488,10.0174687,4.3,171,ChIJv5SufJR8gEcRRA4F0iXkF4g,27.388,39 mins
Marcello's Cafe Enoteca Birreria Salumeria,"Piazza Giovanni Lunardi, 10, Noceto",44.8050343,10.1757069,4.5,286,ChIJCVU31IBogEcRREYzdax4t_0,20.414,25 mins
Stadio Risto Il Noce,"Via Alberto Sordi, Noceto",44.80453079999999,10.1815936,4.3,750,ChIJXRHwhIhogEcRAlmc2FB3st4,20.729,25 mins
Salumificio Peveri Carlo di Peveri Remo e Peveri Federica Sas,"Via Chiaravalle, 3193/1, SP54, Alseno",44.926342,9.970281,4.7,102,ChIJE8_6TJXzgEcRDv6itCl4OzQ,19.845,24 mins
